R Y M K 
-275.664535 -13.169815 -151.324931 -137.509419 
-275.664535 -13.169815 -151.324931 -137.509419 
-275.664535 -13.169815 -192.771466 -96.062885 
-275.664535 -13.169815 -206.586977 -82.247373 
-275.664535 -13.169815 -192.771466 -96.062885 
-275.664535 -13.169815 -165.140443 -123.693908 
-275.664535 -13.169815 -220.402489 -68.431862 
-275.664535 -13.169815 -206.586977 -82.247373 
-275.664535 -13.169815 -220.402489 -68.431862 
-275.664535 -13.169815 -137.509419 -151.324931 
-275.664535 -13.169815 -165.140443 -123.693908 
-406.242473 -19.408149 -254.271846 -171.378776 
-406.242473 -19.408149 -212.825311 -212.825311 
-406.242473 -19.408149 -199.009799 -226.640822 
-406.242473 -19.408149 -212.825311 -212.825311 
-406.242473 -19.408149 -254.271846 -171.378776 
-406.242473 -19.408149 -281.902869 -143.747753 
-406.242473 -19.408149 -254.271846 -171.378776 
-406.242473 -19.408149 -268.087357 -157.563265 
-406.242473 -19.408149 -226.640822 -199.009799 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -132.657382 -49.764313 
-174.103917 -8.317778 -132.657382 -49.764313 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -105.026359 -77.395336 
-174.103917 -8.317778 -63.579824 -118.841871 
-551.329070 -26.339631 -357.911908 -219.756793 
-551.329070 -26.339631 -344.096397 -233.572304 
-551.329070 -26.339631 -330.280885 -247.387816 
-551.329070 -26.339631 -344.096397 -233.572304 
-551.329070 -26.339631 -330.280885 -247.387816 
-551.329070 -26.339631 -302.649862 -275.018839 
-551.329070 -26.339631 -316.465374 -261.203327 
-551.329070 -26.339631 -330.280885 -247.387816 
-551.329070 -26.339631 -344.096397 -233.572304 
-551.329070 -26.339631 -330.280885 -247.387816 
-72.543299 -3.465741 -31.096764 -44.912276 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -31.096764 -44.912276 
-72.543299 -3.465741 -17.281252 -58.727787 
-72.543299 -3.465741 -17.281252 -58.727787 
-72.543299 -3.465741 -44.912276 -31.096764 
-246.647216 -11.783519 -163.754146 -94.676588 
-246.647216 -11.783519 -163.754146 -94.676588 
-246.647216 -11.783519 -136.123123 -122.307612 
-246.647216 -11.783519 -163.754146 -94.676588 
-246.647216 -11.783519 -136.123123 -122.307612 
-246.647216 -11.783519 -122.307612 -136.123123 
-246.647216 -11.783519 -177.569658 -80.861077 
-246.647216 -11.783519 -177.569658 -80.861077 
-246.647216 -11.783519 -136.123123 -122.307612 
-246.647216 -11.783519 -122.307612 -136.123123 
-246.647216 -11.783519 -149.938635 -108.492100 
-116.069278 -5.545185 -60.807232 -60.807232 
-116.069278 -5.545185 -46.991720 -74.622743 
-116.069278 -5.545185 -60.807232 -60.807232 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -60.807232 -60.807232 
-116.069278 -5.545185 -74.622743 -46.991720 
-275.664535 -13.169815 -178.955954 -109.878396 
-275.664535 -13.169815 -137.509419 -151.324931 
-275.664535 -13.169815 -151.324931 -137.509419 
-275.664535 -13.169815 -192.771466 -96.062885 
-275.664535 -13.169815 -137.509419 -151.324931 
-275.664535 -13.169815 -192.771466 -96.062885 
-275.664535 -13.169815 -137.509419 -151.324931 
-275.664535 -13.169815 -234.218000 -54.616350 
-188.612577 -9.010926 -105.719507 -91.903996 
-188.612577 -9.010926 -133.350530 -64.272973 
-188.612577 -9.010926 -160.981553 -36.641949 
-188.612577 -9.010926 -147.166042 -50.457461 
-188.612577 -9.010926 -133.350530 -64.272973 
-188.612577 -9.010926 -160.981553 -36.641949 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -61.500380 -75.315891 
-130.577938 -6.238334 -33.869357 -102.946915 
-130.577938 -6.238334 -102.946915 -33.869357 
-130.577938 -6.238334 -89.131403 -47.684868 
-130.577938 -6.238334 -89.131403 -47.684868 
-130.577938 -6.238334 -47.684868 -89.131403 
-261.155875 -12.476667 -205.893829 -67.738713 
-261.155875 -12.476667 -95.369737 -178.262806 
-261.155875 -12.476667 -178.262806 -95.369737 
-247.340364 -26.292179 -178.262806 -95.369737 
-261.155875 -12.476667 -192.078318 -81.554225 
-261.155875 -12.476667 -136.816271 -136.816271 
-261.155875 -12.476667 -164.447294 -109.185248 
-290.173195 -13.862964 -193.464614 -110.571545 
-290.173195 -13.862964 -193.464614 -110.571545 
-290.173195 -13.862964 -138.202568 -165.833591 
-290.173195 -13.862964 -207.280125 -96.756033 
-290.173195 -13.862964 -193.464614 -110.571545 
-290.173195 -13.862964 -221.095637 -82.940521 
-290.173195 -13.862964 -234.911149 -69.125010 
-290.173195 -13.862964 -110.571545 -193.464614 
-130.577938 -6.238334 -47.684868 -89.131403 
-130.577938 -6.238334 -20.053845 -116.762426 
-130.577938 -6.238334 -102.946915 -33.869357 
-101.560618 -4.852037 -87.745107 -18.667549 
-101.560618 -4.852037 -46.298572 -60.114083 
-101.560618 -4.852037 -87.745107 -18.667549 
-101.560618 -4.852037 -46.298572 -60.114083 
-101.560618 -4.852037 -87.745107 -18.667549 
-101.560618 -4.852037 -18.667549 -87.745107 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -146.472894 -35.948801 
-174.103917 -8.317778 -49.764313 -132.657382 
-232.138556 -11.090371 -163.060998 -80.167929 
-232.138556 -11.090371 -163.060998 -80.167929 
-232.138556 -11.090371 -176.876510 -66.352417 
-232.138556 -11.090371 -121.614463 -121.614463 
-232.138556 -11.090371 -163.060998 -80.167929 
-232.138556 -11.090371 -107.798952 -135.429975 
-232.138556 -11.090371 -121.614463 -121.614463 
-232.138556 -11.090371 -121.614463 -121.614463 
-232.138556 -11.090371 -163.060998 -80.167929 
-232.138556 -11.090371 -121.614463 -121.614463 
-203.121236 -9.704075 -134.043679 -78.781632 
-203.121236 -9.704075 -78.781632 -134.043679 
-203.121236 -9.704075 -161.674702 -51.150609 
-203.121236 -9.704075 -120.228167 -92.597144 
-203.121236 -9.704075 -147.859190 -64.966121 
-203.121236 -9.704075 -147.859190 -64.966121 
-406.242473 -19.408149 -254.271846 -171.378776 
-406.242473 -19.408149 -309.533892 -116.116730 
-406.242473 -19.408149 -281.902869 -143.747753 
-406.242473 -19.408149 -226.640822 -199.009799 
-406.242473 -19.408149 -268.087357 -157.563265 
-406.242473 -19.408149 -254.271846 -171.378776 
-406.242473 -19.408149 -323.349403 -102.301218 
-406.242473 -19.408149 -240.456334 -185.194288 
-406.242473 -19.408149 -226.640822 -199.009799 
-406.242473 -19.408149 -309.533892 -116.116730 
-406.242473 -19.408149 -295.718380 -129.932242 
-406.242473 -19.408149 -240.456334 -185.194288 
-392.426961 -33.223661 -157.563265 -268.087357 
-290.173195 -13.862964 -165.833591 -138.202568 
-290.173195 -13.862964 -152.018079 -152.018079 
-290.173195 -13.862964 -221.095637 -82.940521 
-290.173195 -13.862964 -165.833591 -138.202568 
-290.173195 -13.862964 -152.018079 -152.018079 
-290.173195 -13.862964 -138.202568 -165.833591 
-261.155875 -12.476667 -136.816271 -136.816271 
-261.155875 -12.476667 -192.078318 -81.554225 
-261.155875 -12.476667 -164.447294 -109.185248 
-261.155875 -12.476667 -123.000760 -150.631783 
-261.155875 -12.476667 -164.447294 -109.185248 
-261.155875 -12.476667 -136.816271 -136.816271 
-261.155875 -12.476667 -178.262806 -95.369737 
-261.155875 -12.476667 -150.631783 -123.000760 
-261.155875 -12.476667 -178.262806 -95.369737 
-232.138556 -11.090371 -135.429975 -107.798952 
-232.138556 -11.090371 -135.429975 -107.798952 
-232.138556 -11.090371 -93.983440 -149.245486 
-232.138556 -11.090371 -149.245486 -93.983440 
-232.138556 -11.090371 -176.876510 -66.352417 
-159.595257 -7.624630 -104.333211 -62.886676 
-159.595257 -7.624630 -76.702188 -90.517699 
-159.595257 -7.624630 -76.702188 -90.517699 
-159.595257 -7.624630 -104.333211 -62.886676 
-101.560618 -4.852037 -46.298572 -60.114083 
-101.560618 -4.852037 -73.929595 -32.483060 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -89.131403 -47.684868 
-130.577938 -6.238334 -89.131403 -47.684868 
-130.577938 -6.238334 -20.053845 -116.762426 
-130.577938 -6.238334 -47.684868 -89.131403 
-130.577938 -6.238334 -75.315891 -61.500380 
-130.577938 -6.238334 -89.131403 -47.684868 
-130.577938 -6.238334 -89.131403 -47.684868 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -60.807232 -60.807232 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -88.438255 -33.176209 
-116.069278 -5.545185 -74.622743 -46.991720 
-116.069278 -5.545185 -88.438255 -33.176209 
-174.103917 -8.317778 -118.841871 -63.579824 
-174.103917 -8.317778 -77.395336 -105.026359 
-174.103917 -8.317778 -91.210848 -91.210848 
-174.103917 -8.317778 -105.026359 -77.395336 
